site,longitude,latitude,survey_year,zone,transect,classcode,count,survey,distance
ANDREW_MOLERA_UC,-121.875988,36.277685,2008,OUTER,2,NERLUE,2,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2009,INNER,1,NERLUE,25,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2009,INNER,2,NERLUE,73,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2009,MID,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2009,MID,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2009,OUTER,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2009,OUTER,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2010,INNER,1,NERLUE,67,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2010,INNER,2,NERLUE,119,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2010,MID,1,NERLUE,4,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2010,MID,2,NERLUE,47,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2010,OUTER,1,NERLUE,24,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2010,OUTER,2,NERLUE,60,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2011,INNER,1,NERLUE,26,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2011,INNER,2,NERLUE,29,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2011,MID,1,NERLUE,7,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2011,MID,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2011,OUTER,1,NERLUE,8,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2011,OUTER,2,NERLUE,5,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2019,INNER,1,NERLUE,1,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2019,INNER,2,NERLUE,3,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2019,MID,1,NERLUE,11,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2019,MID,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2019,OUTER,1,NERLUE,36,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2019,OUTER,2,NERLUE,36,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2020,MID,1,NERLUE,3,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2020,MID,2,NERLUE,2,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2020,INNER,1,NERLUE,5,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2020,INNER,2,NERLUE,1,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2020,OUTER,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2020,OUTER,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2023,INNER,1,NERLUE,37,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2023,INNER,2,NERLUE,77,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2023,MID,1,NERLUE,57,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2023,MID,2,NERLUE,41,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2023,OUTER,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2023,OUTER,2,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,1999,INNER,1,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,1999,INNER,2,NERLUE,10,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,1999,MID,1,NERLUE,3,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,1999,MID,2,NERLUE,39,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,1999,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,1999,OUTER,2,NERLUE,2,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2000,INNER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2000,INNER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2000,MID,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2000,MID,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2000,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2000,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2001,INNER,1,NERLUE,10,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2001,INNER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2001,MID,1,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2001,MID,2,NERLUE,8,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2001,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2001,OUTER,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2002,INNER,1,NERLUE,2,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2002,INNER,2,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2002,MID,1,NERLUE,1,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2002,MID,2,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2002,OUTER,1,NERLUE,0,pisco,NA
BLUEFISH_DC,-121.945094,36.52381268,2002,OUTER,2,NERLUE,0,pisco,NA
